plot,date,reading,quad,device,notes
PPW1310,20200509,8.6,A1,4080,
PPW1310,20200509,10.2,A2,4080,
PPW1310,20200509,7.6,A3,4080,
PPW1310,20200509,12,A4,4080,
PPW1310,20200509,5.5,B4,1799,
PPW1310,20200509,5.8,B3,1799,
PPW1310,20200509,8.8,B2,1799,
PPW1310,20200509,6.1,B1,1799,
PPW1310,20200509,6.3,C1,4080,
PPW1310,20200509,12.3,C2,4080,
PPW1310,20200509,14.1,C3,4080,
PPW1310,20200509,12.1,C4,4080,
PPW1310,20200509,10.5,D4,1799,
PPW1310,20200509,9.2,D3,1799,
PPW1310,20200509,6.4,D2,1799,
PPW1310,20200509,5.3,D1,1799,
PPW1309,20200509,7.4,A1,4080,
PPW1309,20200509,6.7,A2,4080,
PPW1309,20200509,75,A3,4080,
PPW1309,20200509,7.7,A4,4080,
PPW1309,20200509,4.5,B4,1799,
PPW1309,20200509,3.1,B3,1799,
PPW1309,20200509,4,B2,1799,
PPW1309,20200509,3.5,B1,1799,
PPW1309,20200509,10.1,C1,4080,
PPW1309,20200509,6.5,C2,4080,
PPW1309,20200509,6.7,C3,4080,
PPW1309,20200509,4.4,C4,4080,
PPW1309,20200509,5.2,D4,1799,
PPW1309,20200509,5,D3,1799,
PPW1309,20200509,4.5,D2,1799,
PPW1309,20200509,4.5,D1,1799,
PPW1312,20200509,14,A1,4080,
PPW1312,20200509,11.5,A2,4080,
PPW1312,20200509,12.5,A3,4080,
PPW1312,20200509,7.8,A4,4080,
PPW1312,20200509,5.5,B4,1799,
PPW1312,20200509,6.4,B3,1799,
PPW1312,20200509,8.2,B2,1799,
PPW1312,20200509,11,B1,1799,
PPW1312,20200509,15.1,C1,4080,
PPW1312,20200509,13.1,C2,4080,
PPW1312,20200509,10.9,C3,4080,
PPW1312,20200509,13.1,C4,4080,
PPW1312,20200509,5.9,D4,1799,
PPW1312,20200509,7.8,D3,1799,
PPW1312,20200509,8.6,D2,1799,
PPW1312,20200509,4.1,D1,1799,
PPW1344,20200509,6.1,A1,4080,
PPW1344,20200509,10.9,A2,4080,
PPW1344,20200509,8.7,A3,4080,
PPW1344,20200509,9.5,A4,4080,
PPW1344,20200509,5.5,B4,1799,
PPW1344,20200509,3.5,B3,1799,
PPW1344,20200509,3.8,B2,1799,
PPW1344,20200509,3.3,B1,1799,
PPW1344,20200509,11.4,C1,4080,
PPW1344,20200509,11.2,C2,4080,
PPW1344,20200509,7.3,C3,4080,
PPW1344,20200509,6.3,C4,4080,
PPW1344,20200509,5.2,D4,1799,
PPW1344,20200509,4.2,D3,1799,
PPW1344,20200509,4.3,D2,1799,
PPW1344,20200509,3.8,D1,1799,
PPW1324,20200509,5.3,A1,4080,
PPW1324,20200509,4,A2,4080,
PPW1324,20200509,3.6,A3,4080,
PPW1324,20200509,5.2,A4,4080,
PPW1324,20200509,5.3,B4,1799,
PPW1324,20200509,6.8,B3,1799,
PPW1324,20200509,4.2,B2,1799,
PPW1324,20200509,5.3,B1,1799,
PPW1324,20200509,8.2,C1,4080,
PPW1324,20200509,6.1,C2,4080,
PPW1324,20200509,7.4,C3,4080,
PPW1324,20200509,7.3,C4,4080,
PPW1324,20200509,4.1,D4,1799,
PPW1324,20200509,5.4,D3,1799,
PPW1324,20200509,4.9,D2,1799,
PPW1324,20200509,6.8,D1,1799,
PPW1315,20200509,6.5,A1,4080,
PPW1315,20200509,4.8,A2,4080,
PPW1315,20200509,10.6,A3,4080,
PPW1315,20200509,9,A4,4080,
PPW1315,20200509,7.5,B4,1799,
PPW1315,20200509,6.2,B3,1799,
PPW1315,20200509,4.1,B2,1799,
PPW1315,20200509,4.5,B1,1799,
PPW1315,20200509,7.4,C1,4080,
PPW1315,20200509,6.8,C2,4080,
PPW1315,20200509,7.2,C3,4080,
PPW1315,20200509,9.1,C4,4080,
PPW1315,20200509,6.7,D4,1799,
PPW1315,20200509,4.2,D3,1799,
PPW1315,20200509,4.3,D2,1799,
PPW1315,20200509,5.3,D1,1799,
PPW1332,20200509,12.9,A1,4080,
PPW1332,20200509,14.2,A2,4080,
PPW1332,20200509,8.2,A3,4080,
PPW1332,20200509,12.1,A4,4080,
PPW1332,20200509,6.5,B4,1799,
PPW1332,20200509,5.5,B3,1799,
PPW1332,20200509,10.8,B2,1799,
PPW1332,20200509,11.2,B1,1799,
PPW1332,20200509,9.9,C1,4080,
PPW1332,20200509,12.9,C2,4080,
PPW1332,20200509,11.1,C3,4080,
PPW1332,20200509,10.6,C4,4080,
PPW1332,20200509,7.1,D4,1799,
PPW1332,20200509,5.5,D3,1799,
PPW1332,20200509,5.8,D2,1799,
PPW1332,20200509,5.4,D1,1799,
PPW1335,20200509,6.6,A1,4080,
PPW1335,20200509,6.1,A2,4080,
PPW1335,20200509,7.5,A3,4080,
PPW1335,20200509,8.2,A4,4080,
PPW1335,20200509,5.6,B4,1799,
PPW1335,20200509,4.1,B3,1799,
PPW1335,20200509,5.1,B2,1799,
